learner_id,email,first_name,last_name,role,created_at,learning_type,skill_name,skill_level,skill_level_score,content_category,content_title,content_duration_min,recommended,consumed,consumed_pct,completion_date
1,user1@mentora.ai,user1,mentora,Web Developer Learner,2025-05-10,Writing,HTML & CSS,Basic,1,Articles,HTML Basics for Beginners,60,True,True,0.93,2025-09-30
1,user1@mentora.ai,user1,mentora,Web Developer Learner,2025-05-10,Writing,HTML & CSS,Basic,1,Videos,Modern CSS in 2025,60,True,False,0.46,2025-06-06
1,user1@mentora.ai,user1,mentora,Web Developer Learner,2025-05-10,Writing,JavaScript,Intermediate,2,Projects,Weather App with API,60,True,True,0.95,2025-07-10
1,user1@mentora.ai,user1,mentora,Web Developer Learner,2025-05-10,Writing,React,Intermediate,2,Articles,React Basics for Beginners,15,False,False,0.38,2025-03-25
1,user1@mentora.ai,user1,mentora,Web Developer Learner,2025-05-10,Writing,APIs & HTTP,Intermediate,2,Projects,Weather API Client,90,True,True,0.63,2025-06-03
1,user1@mentora.ai,user1,mentora,Web Developer Learner,2025-05-10,Writing,Backend Basic,Basic,1,Projects,Database Integration Project,60,True,False,0.44,2025-06-05
2,user2@mentora.ai,user2,mentora,Web Developer Learner,2025-02-17,Writing,HTML & CSS,Intermediate,2,Videos,Modern CSS in 2025,120,True,False,0.32,2025-09-17
2,user2@mentora.ai,user2,mentora,Web Developer Learner,2025-02-17,Writing,HTML & CSS,Intermediate,2,Articles,CSS Grid vs Flexbox,20,True,True,0.71,2025-03-17
2,user2@mentora.ai,user2,mentora,Web Developer Learner,2025-02-17,Writing,JavaScript,Basic,1,Articles,Async/Await Explained,45,True,False,0.58,2025-06-30
2,user2@mentora.ai,user2,mentora,Web Developer Learner,2025-02-17,Writing,React,Intermediate,2,Projects,E-Commerce Shopping Cart,10,False,True,0.62,2025-07-23
2,user2@mentora.ai,user2,mentora,Web Developer Learner,2025-02-17,Writing,React,Intermediate,2,Projects,Movie Search App,45,False,True,0.95,2025-02-08
2,user2@mentora.ai,user2,mentora,Web Developer Learner,2025-02-17,Writing,APIs & HTTP,Intermediate,2,Videos,Securing APIs,10,False,False,0.43,2025-01-25
